Ticker,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BEL.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
JSWSTEEL.NS,0.00026104618275391185,0.0002059622105212686,0.00010977948231113974,0.00010048188722998074,0.00019826581020093587,0.00011441327882023557,0.00019306896610999833,0.00019505716324232173,0.00015900983448706476,0.0001283827389088421,0.00015742989382232418,7.945629568602256e-05,8.794591559805463e-05,0.00014084858068794096,8.09051719469878e-05,0.00015116260861330064,0.00019406055577303214,9.766540516306053e-05,0.00011566500574110845,0.0001266027000901964,0.0003368966409841675,6.919546977924497e-05,0.00019463176399421773,0.00020185069770204897,9.323537138804256e-05,0.00010406174568758849,0.0004794023268350923,0.0001287391452413238,0.0001524951714940369,0.00016752467892717352,0.0001470545233390991,5.8031769614664445e-05,0.00012259668872420743,0.00015972471422535567,9.551726064251892e-05,0.00014105053200661895,0.00019362025575539636,0.0002010899422324359,0.00011091996031921534,0.0001620453896506708,0.0002626871581949456,0.0003539211956802716,7.204264348541136e-05,0.00010099440622568279,0.00013542746911598619,0.00013101874255332455,0.0001622619826330766,8.903285920635419e-05
KOTAKBANK.NS,0.00015468181152838853,0.00013064960521303658,8.934328958951279e-05,9.187778744666874e-05,0.00016403085085453666,9.035391879377944e-05,0.00015509481561965302,0.00018142159992617948,9.416527111102899e-05,7.415783840304626e-05,9.497976171536948e-05,7.667527580381487e-05,5.327964900775791e-05,6.379826668130727e-05,4.760102123732452e-05,0.00011776348185737856,0.00011597829648116836,5.4724493763328266e-05,0.000146492951088737,9.854165010355078e-05,0.00013439594276224361,7.11094286656767e-05,0.0001538346179409326,0.00018705488787130697,6.989477167981887e-05,7.413581065249487e-05,0.0001287391452413238,0.0002828002731604335,0.00012311252934848145,0.00011437465507888372,0.00011578910046655697,5.182184380891735e-05,7.412317724496992e-05,7.454753867004054e-05,6.51269755411695e-05,0.00010848139922596387,0.0001338765688090633,0.0001732241156238998,6.958850736128936e-05,0.00010935692431461443,0.00013751945333536123,0.00010115293368179266,5.5315421084490527e-05,7.025565246894255e-05,9.735977354056629e-05,0.00010859739108651658,0.00010974293100505116,5.46176976477321e-05
LT.NS,0.00019021155695600277,0.00016434856219062568,9.308433415719863e-05,9.119238792353454e-05,0.00018434529283928297,9.87392990933732e-05,0.00015487701573468673,0.00016101855835341504,0.00015375653163608851,9.677780171684996e-05,0.00012348711000626474,8.385190593541067e-05,6.774674479939066e-05,9.688074163900036e-05,5.851034556628433e-05,0.00013276740065066103,0.00015011053237352594,6.239861052998098e-05,0.00011757452876953881,0.00011335772772071558,0.00019584814719649844,6.49174598386852e-05,0.00017977224035170376,0.00019286016687371815,7.523630136190765e-05,8.730488676815453e-05,0.0001524951714940369,0.00012311252934848145,0.00028752941816935864,0.00014024307656676204,0.00013224199444806533,5.417333418604509e-05,9.56295931537984e-05,0.00011331790841592054,7.841792731379975e-05,0.00010530956822540915,0.00018483811853439662,0.0001891702700807628,8.125904670816776e-05,0.00012182983855989152,0.00019113496054884216,0.00016655631131237412,6.141331083218695e-05,8.681234399516395e-05,0.00011339344775183228,0.00011965722674914565,0.00014083430965567908,6.893849150918543e-05
M&M.NS,0.00018955907581284283,0.00014505848808801151,9.65231285176202e-05,9.565971993056762e-05,0.00016366826102269983,0.00012739090152696724,0.00016105049600285086,0.0001715608289338525,0.00013595826404351545,0.00010068345710436393,0.00012444686068406342,7.900721482364226e-05,8.262208442394849e-05,9.530892634627714e-05,6.265079079386737e-05,0.0001668040538432403,0.0001519255496683168,7.31673941132299e-05,0.00011069733318076253,0.00015111670487387893,0.00018347948589415787,6.418810062058724e-05,0.0001561430749331593,0.0001854508473774353,6.83445084367928e-05,9.309455969251992e-05,0.00016752467892717352,0.00011437465507888372,0.00014024307656676204,0.0003637575067710202,0.00016780722096239756,5.716910965597694e-05,9.432976871311654e-05,0.00010654233229891474,7.807788766557179e-05,0.00011371474543546557,0.00016267689031156517,0.00018557590364757807,8.51626993686908e-05,0.00012630128158703835,0.00023886557546352668,0.00015506500982737255,6.510160906455584e-05,8.580560456088551e-05,0.00012243127323412792,0.00011976781425381965,0.00013390545284679283,7.181959383838131e-05
MARUTI.NS,0.0001873454853162118,0.0001441968971951567,9.128361769619968e-05,0.00011710586237751168,0.000170800738419444,0.00013275840226218953,0.00015854919135911886,0.0001814621364512752,0.00013279133669132095,9.24113199571524e-05,0.00011822429054092278,9.59714221617062e-05,6.168053768927026e-05,8.307626930540515e-05,4.824493195381136e-05,0.00017966234187121916,0.00014609067699988641,7.03671544643956e-05,0.00010599831604972964,0.00016079340119390875,0.0001712734289202168,8.283445530261968e-05,0.00015755743541719328,0.00016708543345096593,6.3267677137529e-05,7.042787414106405e-05,0.0001470545233390991,0.00011578910046655697,0.00013224199444806533,0.00016780722096239756,0.00031788927665735004,6.727090983471184e-05,9.027289228149589e-05,0.00010316272892134547,6.436699983292141e-05,0.00011845698694611742,0.0001517485776905898,0.00017941517131769597,7.281099157708124e-05,0.00013311622355134168,0.00021342468859539791,0.00014952693166448366,6.228612431132407e-05,7.857100122073542e-05,0.00013189913783280384,0.00011591198904143192,0.00013767518507939826,6.453636579576912e-05
NESTLEIND.NS,9.547008461320516e-05,6.432540758804566e-05,6.91019950089178e-05,8.219498295953368e-05,6.181541149188399e-05,5.230042342730726e-05,7.133684029413763e-05,7.614007395386965e-05,5.1311905886895435e-05,4.6090809996591136e-05,5.6486991923600706e-05,9.454073975868205e-05,4.03589324531135e-05,3.3759862831039296e-05,5.0335944370989495e-05,5.960956448367301e-05,7.19580044981297e-05,5.2380416670649816e-05,4.7789057347507534e-05,5.588471547918048e-05,7.28148925646016e-05,9.002499321792798e-05,6.031324076348377e-05,7.629170126164204e-05,5.044745523273252e-05,4.128891832252032e-05,5.8031769614664445e-05,5.182184380891735e-05,5.417333418604509e-05,5.716910965597694e-05,6.727090983471184e-05,0.00022124032011571986,3.786059753919139e-05,4.33662494604922e-05,3.116716179847818e-05,6.551262621214851e-05,4.8369500163219303e-05,6.934670956843935e-05,4.4363419889384e-05,8.32128586451089e-05,6.359010818476778e-05,5.846219256900527e-05,4.3425586031942556e-05,5.513555167989212e-05,8.121009807756226e-05,6.614345112165108e-05,6.717543896201496e-05,4.75462228544331e-05
NTPC.NS,0.00014757255687779076,0.00012028000382849756,5.681043075768939e-05,5.3944960592029935e-05,0.0001124831282260755,6.60054383916143e-05,0.00010151910747445375,0.00010275663023353561,0.00012301777191283943,7.335500690576153e-05,0.00010600041665411656,4.626220751567875e-05,5.889656969083538e-05,0.0001234579073283766,4.5245100165365956e-05,8.369514736003359e-05,0.00010095914342730753,5.734228969873358e-05,6.388152397950255e-05,7.745780226592089e-05,0.00015428093756005224,3.632190853840027e-05,0.0001103420654283072,0.00010793829690102449,5.0505971961949265e-05,6.77589984683808e-05,0.00012259668872420743,7.412317724496992e-05,9.56295931537984e-05,9.432976871311654e-05,9.027289228149589e-05,3.786059753919139e-05,0.0002677272683401679,0.0001377880653957435,0.00012358917585298505,7.397952926650506e-05,0.00012283063868861167,0.0001146925873195283,6.94324795770879e-05,9.194734028442303e-05,0.00014615297062905164,0.0001241586963753258,3.996077221845187e-05,6.45879847771729e-05,7.69671468739113e-05,8.290613633261793e-05,8.611319711729178e-05,5.1104637984209594e-05
ONGC.NS,0.0001827734952898375,0.00014042802102354668,7.394317060858597e-05,4.545517520888479e-05,0.00012645667615045377,8.95511287177295e-05,0.00011314579776729792,0.00011705167326769695,0.00016760365000452097,8.657019322829173e-05,0.00015965282147485858,5.8319177991336414e-05,6.705318689468309e-05,0.0001716943348136978,5.737121863752004e-05,9.18136525635194e-05,0.00011863931143865046,7.722669009550245e-05,6.014856700439272e-05,9.371912774743051e-05,0.00021910619071753456,4.4266488825790175e-05,0.00013253192217523482,0.00011502952698221305,6.376992222040953e-05,8.874721457401868e-05,0.00015972471422535567,7.454753867004054e-05,0.00011331790841592054,0.00010654233229891474,0.00010316272892134547,4.33662494604922e-05,0.0001377880653957435,0.00044779407379852464,9.432174646881776e-05,0.00012870564029268867,0.0001520766976502572,0.00013622503921603498,8.081367441816231e-05,0.00010081834526324162,0.00019241202536824232,0.00018140540881022893,6.0778556967546946e-05,8.398453340699464e-05,8.505029101073841e-05,9.112712058412803e-05,9.623324829643305e-05,7.988665134320654e-05
POWERGRID.NS,0.0001151933529671185,8.801854141545821e-05,4.8958214397751425e-05,4.224429983251238e-05,8.365301580189005e-05,5.399511052890255e-05,7.616973459623979e-05,7.437794217682412e-05,9.321017053586186e-05,6.293566354010807e-05,8.845514619586118e-05,3.269805295634171e-05,4.460108963954629e-05,8.132029274278939e-05,3.35296924594938e-05,6.336262047081467e-05,8.444024380143314e-05,4.444517083736987e-05,5.494577521832255e-05,6.723365808723614e-05,0.00010654415578046347,2.9269127625439277e-05,8.901806937532656e-05,0.0001017440890787985,3.4708899834112543e-05,6.036208662431798e-05,9.551726064251892e-05,6.51269755411695e-05,7.841792731379975e-05,7.807788766557179e-05,6.436699983292141e-05,3.116716179847818e-05,0.00012358917585298505,9.432174646881776e-05,0.00023647136723799382,6.0581450047749394e-05,9.451323316299367e-05,0.00010482950994159925,4.6258465905266546e-05,6.56438706474729e-05,0.0001151441367027945,8.748015335759713e-05,3.367896926675106e-05,4.307388271148504e-05,6.243248207284794e-05,7.409930896711637e-05,6.440044846078265e-05,4.285271512385591e-05
RELIANCE.NS,0.00017826723744700118,0.00014124908129524276,8.27855228348268e-05,9.082858841409636e-05,0.00013684039130921672,8.9136387402429e-05,0.0001337521197738054,0.00014170316904244204,0.00012300461728790145,9.352459130710619e-05,0.00012527553112195801,8.280766965815637e-05,5.293640652459387e-05,9.533792011957818e-05,6.71495334607569e-05,0.00010903488070156938,0.00011573606129137394,8.181731934000384e-05,0.00010209637918525627,9.667383528196408e-05,0.0001611788672582797,7.025213280910032e-05,0.00013363873278565024,0.00012521566811305633,7.861863312571205e-05,7.074233736436726e-05,0.00014105053200661895,0.00010848139922596387,0.00010530956822540915,0.00011371474543546557,0.00011845698694611742,6.551262621214851e-05,7.397952926650506e-05,0.00012870564029268867,6.0581450047749394e-05,0.0003174866989467755,0.00013430743835659634,0.00013921043039235827,8.361895435550811e-05,0.00011935850533046548,0.000168080548432787,0.00014335467263785643,7.17588121142508e-05,9.017604309227057e-05,9.72226902938074e-05,0.00011553886696419167,0.00010907247123056968,7.11943913362477e-05
